Movie Title,Year,Score,Directors,Cast,Consensus
The Haunting of Bly Manor,2020,88,"Justin Falvey, Mike Flanagan, Diane Ademu-John, Trevor Macy","Victoria Pedretti, Oliver Jackson-Cohen, Henry Thomas, Amelia Eve",A young governess arrives at Bly Manor and begins to see apparitions haunting the estate....
The Diplomat,2023,89,"Debora Cahn, Janice Williams, Keri Russell, Simon Cellan Jones","Keri Russell, Rufus Sewell, David Gyasi, Ali Ahn","Amid an international crisis, a career diplomat juggles her new high-profile job as ambassador to the United Kingdom and her..."
Delhi Crime,2019,88,"Aaron Kaplan, Jeff Sagansky, Florence Sloan, Apoorva Bakshi","Shefali Shetty, Rajesh Tailang, Rasika Dugal, Adil Hussain","DCP Vartika Chaturvedi leads a team that investigates headline-grabbing Delhi crimes, including rapes and murder sprees...."
Midnight Mass,2021,87,Mike Flanagan,"Zach Gilford, Kate Siegel, Hamish Linklater, Annabeth Gish","The arrival of a charismatic priest brings miracles, mysteries and renewed religious fervor to a dying town...."
A Discovery of Witches,2018,87,"Juan Carlos Medina, Alice Troughton","Matthew Goode, Teresa Palmer, Alex Kingston, Valarie Pettiford","""A Discovery of Witches"" is a fantasy series based on the similarly-named novel of the ""All Souls"" trilogy, written by..."
Boy Swallows Universe,2024,87,"John Collee, Andrew Mason, Bharat Nalluri","Travis Fimmel, Phoebe Tonkin, Simon Baker, Felix Cameron","In a room below his house in 1980s Brisbane, Australia, Eli Bell answers a red telephone and begins a journey..."
Ripley,2024,86,"Steven Zaillian, Garrett Basch, Clayton Townsend, Guymon Casady","Andrew Scott, Dakota Fanning, Johnny Flynn, Maurizio Lombardi",A wealthy man hires down-on-his-luck grifter Tom Ripley to travel to Italy to urge his vagabond son to return home;...
The Mindy Project,2012,86,"Mindy Kaling, Matt Warburton, Howard Klein, Charlie Grandy","Mindy Kaling, Ed Weeks, Ike Barinholtz, Beth Grant","Mindy Lahiri is a successful, skilled doctor, but when she leaves the office, all bets are off. She aspires to..."
"Love, Death + Robots",2019,86,"David Fincher, Tim Miller, Jennifer Miller, Joshua Donen",,"This collection of animated short stories spans several genres, including science fiction, fantasy, horror and comedy. World-class animation creators bring..."
The Midnight Club,2022,85,"Mike Flanagan, Trevor Macy, Leah Fong, Julia Bicknell","Iman Benson, Igby Rigney, Ruth Codd, Annarah Shephard","At a manor with a mysterious history, eight members of the Midnight Club meet each night at midnight to tell..."
Griselda,2024,86,"Andrés Baiz, Eric Newman, Andrés Baiz, Doug Miro","Sofía Vergara, Alberto Guerra, Christian Tappán, Martín Rodríguez",The savvy and ambitious Colombian businesswomen Griselda Blanco creates one of the most profitable cartels in history....
Gangs of London,2020,86,"Matt Flannery, Gareth Evans, Gabriel Silver","Sope Dirisu, Joe Cole, Colm Meaney, Lucian Msamati",The city of London is being torn apart by the turbulent power struggles of the international gangs that control it...
Terminator Zero,2024,86,"Masashi Kudo, David Ellison","Timothy Olyphant, André Holland, Sumalee Montano, Armani Jackson",A warrior from a post-apocalyptic future travels to 1997 to protect an AI scientist being hunted by an unfeeling —...
From Scratch,2022,86,"Zoe Saldana, Reese Witherspoon, Lauren Levy Neustadter, Tembi Locke","Zoe Saldana, Eugenio Mastrandrea, Danielle Deadwyler, Keith David",An American woman loves and loses a Sicilian man she meets in Italy....
One Piece,2023,85,"Marty Adelstein, Becky Clements, Eiichiro Oda, Matt Owens","Iñaki Godoy, Mackenyu, Emily Rudd, Jacob Romero Gibson",Monkey D. Luffy and his pirate crew explore a fantastical world of endless oceans and exotic islands in search of...
Bridgerton,2020,84,"Shonda Rhimes, Betsy Beers, Tom Verica, Chris Van Dusen","Nicola Coughlan, Luke Newton, Claudia Jessie, Luke Thompson","Bridgerton follows Daphne Bridgerton (Phoebe Dynevor), the eldest daughter of the powerful Bridgerton family as she makes her debut onto..."
Grey's Anatomy,2005,84,"Shonda Rhimes, Mark Gordon, Betsy Beers, Krista Vernoff","Ellen Pompeo, Chandra Wilson, James Pickens Jr., Kevin McKidd",This high-intensity medical drama follows a team of doctors at Grey Sloan Memorial Hospital who are faced with life-or death...
Into the Badlands,2015,84,"Alfred Gough, Miles Millar, Stacey Sher, Michael Shamberg","Daniel Wu, Aramis Knight, Ally Ioannides, Madeleine Mantock","AMC's goal for ""Into the Badlands"" was twofold: produce a compelling character drama, and introduce the highest caliber of martial..."
Warrior Nun,2020,84,"Simon Barry, Stephen Hegyes","Alba Baptista, Toya Turner, Thekla Reuten, Lorena Andrea",A young woman wakes up in a morgue with inexplicable powers and gets caught up in a battle between good...
The Brothers Sun,2024,84,"Brad Falchuk, Byron Wu, Mikkel Bondesen, Kevin Tancharoen","Michelle Yeoh, Justin Chien, Sam Li, Highdee Kuan","When the head of a Taiwanese triad is shot by an assassin, his eldest son, Charles ""Chairleg"" Sun, heads to..."
Waco: American Apocalypse,2023,84,"Tiller Russell, Tiller Russell, Greg Tillman, Jeff Hasler",,"In Waco, Texas, 1993, cult leader David Koresh faces off against the federal government in a 51-day siege that begins..."
Black Mirror,2011,83,"Annabel Jones, Charlie Brooker",Anjana Vasan,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The..."
Shadow and Bone,2021,83,"Eric Heisserer, Shawn Levy, Dan Levine, Josh S. Barry","Jessie Mei Li, Archie Renaux, Ben Barnes, Freddy Carter",Sinister forces plot against a young soldier after she reveals a magical power that may unite her world....
School Spirits,2023,83,"Oliver Goldstick, Nate Trinrud, Maria Nguyen, Max Winkler","Peyton List, Kristian Flores, Spencer MacPherson, Kiara Pichardo",Maddie is a teen girl stuck in the afterlife investigating her own mysterious disappearance; she goes on a crime-solving journey...
Hit & Run,2021,83,"Lior Raz, Avi Issacharoff, Dawn Prestwich, Nicole Yorkin","Lior Raz, Sanaa Lathan, Kaelen Ohm, Moran Rosenblatt",A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and...
Bodies,2023,82,"Marco Kreuzpaintner, Haolu Wang","Jacob Fortune-Lloyd, Shira Haas, Amaka Okafor, Kyle Soller","Four London detectives, in four different time periods, find themselves investigating the same murder...."
Murdaugh Murders: A Southern Scandal,2023,82,"Michael Gasparro, Julia Willoughby Nason, Jenner Furst","Morgan Doughty, Anthony Cook, Blanca Simpson, Mushelle ""Shelly"" Smith","The Murdaughs are a prominent family in South Carolina, until a fatal boating accident begins the unraveling of their legacy;..."
The Crown,2016,81,"Peter Morgan, Suzanne Mackie, Andy Harries, Stephen Daldry","Imelda Staunton, Jonathan Pryce, Lesley Manville, Dominic West","Based on an award-winning play (""The Audience"") by showrunner Peter Morgan, this lavish, Netflix-original drama chronicles the life of Queen..."
That '90s Show,2023,81,"Gregg Mettler, Bonnie Turner, Terry Turner, Jayla Dark","Debra Jo Rupp, Kurtwood Smith, Callie Haverda, Ashley Aufderheide","In the summer of 1995, Leia Forman makes friends with a new generation of Point Place kids while visiting her..."
Virgin River,2019,81,"Sue Tenney, Roma Roth, Chris Perry, Robyn Carr","Alexandra Breckenridge, Martin Henderson, Tim Matheson, Annette O'Toole","Seeking a fresh start, a nurse practitioner moves from Los Angeles to a remote Northern California town and is surprised..."
